Time,PLR
1,0.00E+00
2,0.00E+00
3,0.00E+00
4,0.00E+00
5,0.00E+00
6,1.20E-02
7,3.51E-02
8,7.24E-02
9,0.00E+00
10,2.01E-02
11,1.18E-03
12,0.00E+00
13,0.00E+00
14,0.00E+00
15,0.00E+00
16,0.00E+00
17,1.54E-02
18,4.01E-03
19,1.18E-03
20,1.18E-03
21,0.00E+00
22,0.00E+00
23,7.12E-02
24,0.00E+00
25,0.00E+00
26,0.00E+00
27,0.00E+00
28,0.00E+00
29,0.00E+00
30,0.00E+00
31,0.00E+00
32,0.00E+00
33,0.00E+00
34,2.19E-02
35,1.53E-02
36,0.00E+00
37,0.00E+00
38,9.23E-02
39,0.00E+00
40,0.00E+00
41,0.00E+00
42,0.00E+00
43,0.00E+00
44,1.55E-03
45,4.37E-02
46,0.00E+00
47,0.00E+00
48,0.00E+00
49,0.00E+00
50,0.00E+00
51,0.00E+00
52,0.00E+00
53,4.01E-02
54,0.00E+00
55,0.00E+00
56,0.00E+00
57,8.26E-03
58,5.06E-02
59,0.00E+00
60,0.00E+00
61,0.00E+00
62,0.00E+00
63,0.00E+00
64,0.00E+00
65,4.13E-02
66,0.00E+00
67,0.00E+00
68,0.00E+00
69,1.56E-02
70,0.00E+00
71,0.00E+00
72,0.00E+00
73,7.17E-02
74,0.00E+00
75,0.00E+00
76,0.00E+00
77,0.00E+00
78,0.00E+00
79,0.00E+00
80,0.00E+00
81,0.00E+00
82,1.09E-02
83,4.73E-02
84,0.00E+00
85,0.00E+00
86,0.00E+00
87,0.00E+00
88,0.00E+00
89,1.53E-02
90,1.55E-01
91,0.00E+00
92,0.00E+00
93,0.00E+00
94,0.00E+00
95,0.00E+00
96,0.00E+00
97,0.00E+00
98,6.11E-02
99,0.00E+00
100,0.00E+00
101,0.00E+00
102,0.00E+00
103,0.00E+00
